   0.183333E+01   0.106205E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.200000E+01   0.106831E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.216667E+01   0.107395E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.233333E+01   0.107908E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.250000E+01   0.108378E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.266667E+01   0.108836E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.283333E+01   0.109218E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.300000E+01   0.109559E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.316667E+01   0.109860E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.333333E+01   0.110123E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
